# @legend string   1 "Partition=  2 Excit=  1 near/far= 1" | #legend string   0 "Lab energy =   32.0000" | @s1 linestyle   2 | #  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
col0,col1
0.0,0.02576
0.5,0.02575
1.0,0.02573
1.5,0.0257
2.0,0.02565
2.5,0.0256
3.0,0.02552
3.5,0.02544
4.0,0.02535
4.5,0.02524
5.0,0.02512
5.5,0.02499
6.0,0.02485
6.5,0.0247
7.0,0.02454
7.5,0.02437
8.0,0.02419
8.5,0.024
9.0,0.0238
9.5,0.02359
10.0,0.02338
10.5,0.02315
11.0,0.02292
11.5,0.02268
12.0,0.02243
12.5,0.02217
13.0,0.02191
13.5,0.02163
14.0,0.02134
14.5,0.02105
15.0,0.02074
15.5,0.02043
16.0,0.0201
16.5,0.01976
17.0,0.01942
17.5,0.01906
18.0,0.01869
18.5,0.01832
19.0,0.01793
19.5,0.01753
20.0,0.01712
20.5,0.01671
21.0,0.01628
21.5,0.01585
22.0,0.01541
22.5,0.01497
23.0,0.01452
23.5,0.01407
24.0,0.01361
24.5,0.01315
25.0,0.01269
25.5,0.01224
26.0,0.01178
26.5,0.01133
27.0,0.01088
27.5,0.01044
28.0,0.01001
28.5,0.009588
29.0,0.009174
29.5,0.008772
30.0,0.008382
30.5,0.008005
31.0,0.007642
31.5,0.007294
32.0,0.006962
32.5,0.006645
33.0,0.006345
33.5,0.006061
34.0,0.005794
34.5,0.005544
35.0,0.00531
35.5,0.005092
36.0,0.00489
36.5,0.004703
37.0,0.004531
37.5,0.004373
38.0,0.004228
38.5,0.004096
39.0,0.003975
39.5,0.003865
40.0,0.003764
40.5,0.003672
41.0,0.003587
41.5,0.003509
42.0,0.003437
42.5,0.00337
43.0,0.003306
43.5,0.003245
44.0,0.003187
44.5,0.00313
45.0,0.003074
45.5,0.003018
46.0,0.002962
46.5,0.002904
47.0,0.002846
47.5,0.002786
48.0,0.002725
48.5,0.002662
49.0,0.002596
49.5,0.002529
50.0,0.00246
50.5,0.002389
51.0,0.002317
51.5,0.002243
52.0,0.002168
52.5,0.002092
53.0,0.002015
53.5,0.001939
54.0,0.001862
54.5,0.001786
55.0,0.00171
55.5,0.001636
56.0,0.001563
56.5,0.001491
57.0,0.001422
57.5,0.001355
58.0,0.00129
58.5,0.001229
59.0,0.00117
59.5,0.001114
60.0,0.001061
