      29.2  .100101E+01  .143044E-01
      30.2  .101474E+01  .102793E-01
      31.5  .101013E+01  .102932E-01
      32.8  .100665E+01  .103282E-01
      34.1  .101338E+01  .104580E-01
      35.4  .998643E+00  .103959E-01
      36.3  .103532E+01  .153123E-01
      37.7  .102137E+01  .152491E-01
      38.9  .102916E+01  .155506E-01
      39.9  .985546E+00  .533180E-02
      41.2  .100289E+01  .917641E-02
      42.5  .980273E+00  .626394E-02
      43.4  .100371E+01  .916391E-02
      44.1  .993312E+00  .906894E-02
      45.0  .989799E+00  .774023E-02
      46.3  .990184E+00  .845617E-02
      47.9  .986836E+00  .943415E-02
      49.1  .999076E+00  .973100E-02
      50.2  .982351E+00  .635581E-02
      51.5  .993706E+00  .758198E-02
      52.8  .986865E+00  .425339E-02
      54.0  .998364E+00  .437283E-02
      55.3  .100061E+01  .129178E-01
      56.5  .102278E+01  .773219E-02
      58.0  .102891E+01  .667760E-02
      59.3  .105503E+01  .699487E-02
      60.4  .105428E+01  .346859E-02
      61.6  .107999E+01  .764636E-02
      62.9  .106996E+01  .503950E-02
      64.1  .108851E+01  .521396E-02
      65.4  .107017E+01  .523313E-02
      66.7  .106479E+01  .529201E-02
      70.6  .103658E+01  .841707E-02
      71.8  .102869E+01  .195452E-01
      73.1  .100251E+01  .509276E-02
      74.3  .977743E+00  .512337E-02
      75.7  .931371E+00  .503871E-02
      76.9  .886615E+00  .495618E-02
      80.8  .776173E+00  .338411E-02
      82.1  .735989E+00  .103333E-01
      83.3  .682333E+00  .452387E-02
      84.5  .664464E+00  .455158E-02
      85.9  .615415E+00  .442483E-02
      87.1  .576049E+00  .432037E-02
      91.0  .471488E+00  .268277E-02
      92.2  .437569E+00  .331240E-02
      93.5  .406465E+00  .294281E-02
      94.8  .380329E+00  .326322E-02
      96.0  .347218E+00  .496522E-02
      97.2  .332727E+00  .506077E-02
      98.6  .305207E+00  .383951E-02
      99.8  .286443E+00  .383833E-02
     101.0  .261220E+00  .208714E-02
     102.3  .242656E+00  .253090E-02
     103.5  .223790E+00  .331880E-02
     104.8  .209499E+00  .323257E-02
     106.0  .193603E+00  .316541E-02
     107.1  .186963E+00  .319519E-02
     108.5  .166656E+00  .304981E-02
     109.7  .157592E+00  .306990E-02
     110.9  .146371E+00  .256882E-02
     112.1  .136892E+00  .219438E-02
     113.4  .126629E+00  .352155E-02
     114.7  .110403E+00  .678424E-02
     115.9  .106937E+00  .205961E-02
     117.0  .104747E+00  .209808E-02
     118.3  .941677E-01  .472439E-02
     119.7  .871429E-01  .261777E-02
     121.5  .784468E-01  .128967E-02
     123.7  .686738E-01  .247294E-02
     124.9  .664316E-01  .244402E-02
     126.2  .605749E-01  .234788E-02
     127.4  .622178E-01  .247316E-02
     128.7  .530321E-01  .228038E-02
     129.9  .520645E-01  .159734E-02
     131.2  .456678E-01  .151069E-02
     132.4  .460001E-01  .208841E-02
     133.6  .401641E-01  .195318E-02
     134.8  .370527E-01  .188635E-02
     136.1  .346711E-01  .182820E-02
     137.3  .378243E-01  .198200E-02
     138.5  .313968E-01  .181850E-02
     139.8  .333689E-01  .186666E-02
     141.0  .314276E-01  .184763E-02
