      6.55  0.52460E+00  0.10492E-01
     10.58  0.28420E+01  0.56840E-01
     16.20  0.12170E+02  0.24340E+00
     21.79  0.25700E+02  0.51400E+00
     26.81  0.33440E+02  0.66880E+00
     32.36  0.33060E+02  0.66120E+00
     37.88  0.22960E+02  0.45920E+00
     42.51  0.14730E+02  0.29460E+00
     48.58  0.12450E+02  0.24900E+00
     54.14  0.15170E+02  0.30340E+00
     58.98  0.18250E+02  0.36500E+00
     64.17  0.18520E+02  0.37040E+00
     69.34  0.15440E+02  0.30880E+00
     74.34  0.12880E+02  0.25760E+00
     79.33  0.87090E+01  0.17418E+00
     85.04  0.74560E+01  0.14912E+00
     89.68  0.58990E+01  0.11798E+00
     94.69  0.60640E+01  0.12128E+00
     99.88  0.60740E+01  0.12148E+00
    104.50  0.51310E+01  0.10262E+00
    109.70  0.46280E+01  0.92560E-01
    114.50  0.36620E+01  0.73240E-01
    119.30  0.28970E+01  0.57940E-01
